MP_Name,Work_Type,Amount,log_spend,peer_median,peer_mad,peer_n_mps,peer_median_spend,conc_eligible,conc_z,conc_ratio,conc_score,mp_total_amount,mp_works_n,portfolio_share,mp_cat_works_n,conc_reason
ANAND BHADAURIYA,Street lights,8531661.0,15.959294625013266,14.893113691774463,1.2240634603534417,65,2937630.0000000014,True,0.5875014349843635,2.9042667047926374,0,38721345.0,132,0.2203348308278031,49,
ANAND KUMAR,"Construction of roads, link roads, pathways or any other road with or without drainage system",37917124.0,17.450913388592944,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.7583269892946078,10.945920928626041,0,37917124.0,30,1.0,30,
ANANTA NAYAK,"Construction of roads, link roads, pathways or any other road with or without drainage system",300000.0,12.611537753638338,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-1.7975955354880822,0.08660404408804351,0,300000.0,1,1.0,1,
ANDREW J. SYNGKON,Construction of additional rooms and halls in the existing public and community building,400000.0,12.89921982609012,13.81528000481769,0.6929616294384839,24,999769.4734287509,True,-0.8916548396083998,0.4000922318904011,0,9800000.0,27,0.04081632653061224,2,
ANDREW J. SYNGKON,Construction of community centers and community halls,1100000.0,13.9108207377686,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,-0.2713622206536118,0.7373044551286562,0,9800000.0,27,0.11224489795918367,3,
ANDREW J. SYNGKON,Construction of foot over bridge (FOB),1000000.0,13.815510557964274,12.649024488897242,0.7895254336470403,4,311459.46766794554,False,0.0,3.210690647767125,0,9800000.0,27,0.10204081632653061,1,
ANDREW J. SYNGKON,Construction of rooms and halls in school and colleges,4400000.0,15.29711509888849,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,1.2382884059476589,4.087266863227049,0,9800000.0,27,0.4489795918367347,13,
ANDREW J. SYNGKON,Development of public parks,500000.0,13.122363377404328,14.219242164426287,1.096878787021959,13,1497402.0,False,0.0,0.33391166834290326,0,9800000.0,27,0.05102040816326531,1,
ANDREW J. SYNGKON,Installing community drinking water plants,600000.0,13.304684934198283,13.273726077636404,0.67248362567556,22,581709.2768729058,True,0.031051683570749063,1.0314430658995497,0,9800000.0,27,0.061224489795918366,2,
ANDREW J. SYNGKON,Providing garbage collection and disposal systems,500000.0,13.122363377404328,13.01066658611962,0.11169679128470911,2,447157.69030622736,False,0.0,1.1181737692078708,0,9800000.0,27,0.05102040816326531,1,
ANDREW J. SYNGKON,"Purchase of IT systems, including hardware and software for educational purposes",500000.0,13.122363377404328,13.774841282306094,0.8346872078132384,20,960146.6213032259,True,-0.527259005213738,0.5207537983327382,0,9800000.0,27,0.05102040816326531,1,
ANDREW J. SYNGKON,Purchase of furniture and fixtures for educational purposes,200000.0,12.206072645530174,14.370339389617413,1.2488303877550573,16,1741642.8451321456,True,-1.1689320929410025,0.11483410652132021,0,9800000.0,27,0.02040816326530612,1,
ANDREW J. SYNGKON,Setting up of laboratories,300000.0,12.611537753638338,16.012735135300492,0.8160960361180134,11,8999999.999999985,False,0.0,0.03333333333333339,0,9800000.0,27,0.030612244897959183,1,
ANDREW J. SYNGKON,Street lights,300000.0,12.611537753638338,14.893113691774463,1.2240634603534417,65,2937630.0000000014,True,-1.2572248254420246,0.1021231400823112,0,9800000.0,27,0.030612244897959183,1,
ANGOMCHA BIMOL AKOIJAM,Construction of boundary walls of existing public and community buildings,3022066.0,14.9214512614175,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,1.1142324054089814,3.0669921936907056,0,32247094.0,14,0.09371591747150922,2,
